Rank,CCA3,Country/Territory,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
57,TWN,Taiwan,36193,660.1662,1.0014,0.3,1990,20586174
95,TJK,Tajikistan,143100,69.5513,1.0208,0.12,1990,5417860
22,TZA,Tanzania,945087,69.3034,1.03,0.82,1990,26206012
20,THA,Thailand,513120,139.7276,1.0013,0.9,1990,55228410
155,TLS,Timor-Leste,14874,90.1772,1.0154,0.02,1990,758106
100,TGO,Togo,56785,155.8281,1.0236,0.11,1990,3875947
233,TKL,Tokelau,12,155.9167,1.0119,0.0,1990,1669
197,TON,Tonga,747,143.0495,1.0079,0.0,1990,98727
153,TTO,Trinidad and Tobago,5130,298.4491,1.0035,0.02,1990,1266518
79,TUN,Tunisia,163610,75.5218,1.0076,0.15,1990,8440023
18,TUR,Turkey,783562,108.9145,1.0067,1.07,1990,54324142
111,TKM,Turkmenistan,488100,13.1751,1.014,0.08,1990,3720278
212,TCA,Turks and Caicos Islands,948,48.2099,1.0131,0.0,1990,11709
227,TUV,Tuvalu,26,435.0769,1.0096,0.0,1990,9182
31,UGA,Uganda,241550,195.61,1.0304,0.59,1990,17586630
38,UKR,Ukraine,603500,65.7858,0.912,0.5,1990,51589817
97,ARE,United Arab Emirates,83600,112.9322,1.0081,0.12,1990,1900151
21,GBR,United Kingdom,242900,277.9289,1.0034,0.85,1990,57210442
3,USA,United States,9372610,36.0935,1.0038,4.24,1990,248083732
200,VIR,United States Virgin Islands,347,286.6427,0.9937,0.0,1990,100685
133,URY,Uruguay,181034,18.9069,0.999,0.04,1990,3117012
43,UZB,Uzbekistan,447400,77.3975,1.016,0.43,1990,20579100
181,VUT,Vanuatu,12189,26.8061,1.0238,0.0,1990,150882
234,VAT,Vatican City,1,510.0,0.998,0.0,1990,700
51,VEN,Venezuela,916445,30.882,1.0036,0.35,1990,19750579
16,VNM,Vietnam,331212,296.4472,1.0074,1.23,1990,66912613
226,WLF,Wallis and Futuna,142,81.493,0.9953,0.0,1990,13454
172,ESH,Western Sahara,266000,2.1654,1.0184,0.01,1990,178529
46,YEM,Yemen,527968,63.8232,1.0217,0.42,1990,13375121
63,ZMB,Zambia,752612,26.5976,1.028,0.25,1990,7686401
74,ZWE,Zimbabwe,390757,41.7665,1.0204,0.2,1990,10113893
36,AFG,Afghanistan,652230,63.0587,1.0257,0.52,1980,12486631
138,ALB,Albania,28748,98.8702,0.9957,0.04,1980,2941651
34,DZA,Algeria,2381741,18.8531,1.0164,0.56,1980,18739378
213,ASM,American Samoa,199,222.4774,0.9831,0.0,1980,32886
203,AND,Andorra,468,170.5641,1.01,0.0,1980,35611
42,AGO,Angola,1246700,28.5466,1.0315,0.45,1980,8330047
224,AIA,Anguilla,91,174.2527,1.0066,0.0,1980,6560
201,ATG,Antigua and Barbuda,442,212.1335,1.0058,0.0,1980,64888
33,ARG,Argentina,2780400,16.3683,1.0052,0.57,1980,28024803
140,ARM,Armenia,29743,93.4831,0.9962,0.03,1980,3135123
198,ABW,Aruba,180,591.3611,0.9991,0.0,1980,62267
55,AUS,Australia,7692024,3.4032,1.0099,0.33,1980,14706322
99,AUT,Austria,83871,106.5877,1.002,0.11,1980,7547561
91,AZE,Azerbaijan,86600,119.6082,1.0044,0.13,1980,6383060
176,BHS,Bahamas,13943,29.4043,1.0051,0.01,1980,223752
154,BHR,Bahrain,765,1924.4876,1.0061,0.02,1980,362595
8,BGD,Bangladesh,147570,1160.035,1.0108,2.15,1980,83929765
186,BRB,Barbados,430,654.9651,1.0015,0.0,1980,253575
96,BLR,Belarus,207600,45.9295,0.9955,0.12,1980,9817257
81,BEL,Belgium,30528,381.8111,1.0038,0.15,1980,9828986
177,BLZ,Belize,22966,17.6466,1.0131,0.01,1980,145133
77,BEN,Benin,112622,118.5635,1.0274,0.17,1980,3833939
206,BMU,Bermuda,54,1188.5926,1.0,0.0,1980,53565
165,BTN,Bhutan,38394,20.3796,1.0064,0.01,1980,415257
80,BOL,Bolivia,1098581,11.1272,1.012,0.15,1980,5736088
137,BIH,Bosnia and Herzegovina,51209,63.1437,0.9886,0.04,1980,4199820
144,BWA,Botswana,582000,4.5194,1.0162,0.03,1980,938578
7,BRA,Brazil,8515767,25.2841,1.0046,2.7,1980,122288383
221,VGB,British Virgin Islands,151,207.3179,1.0059,0.0,1980,11109
175,BRN,Brunei,5765,77.8841,1.0081,0.01,1980,187921
108,BGR,Bulgaria,110879,61.1654,0.9849,0.09,1980,8980606
58,BFA,Burkina Faso,272967,83.0641,1.0259,0.28,1980,6932967
78,BDI,Burundi,27834,463.0874,1.027,0.16,1980,4312834
73,KHM,Cambodia,181035,92.6221,1.0108,0.21,1980,6198959
53,CMR,Cameroon,475442,58.7128,1.0263,0.35,1980,8519891
39,CAN,Canada,9984670,3.8513,1.0078,0.48,1980,24511510
171,CPV,Cape Verde,4033,147.0739,1.0089,0.01,1980,317234
205,CYM,Cayman Islands,264,260.25,1.0084,0.0,1980,17100
117,CAF,Central African Republic,622984,8.9555,1.0224,0.07,1980,2415276
69,TCD,Chad,1284000,13.8032,1.0316,0.22,1980,4408230
65,CHL,Chile,756102,25.9274,1.0057,0.25,1980,11469828
1,CHN,China,9706961,146.8933,1.0,17.88,1980,982372466
28,COL,Colombia,1141748,45.4339,1.0069,0.65,1980,26176195
163,COM,Comoros,1862,449.3953,1.0184,0.01,1980,328328
223,COK,Cook Islands,236,72.0805,1.0005,0.0,1980,17651
124,CRI,Costa Rica,51100,101.3861,1.0052,0.06,1980,2414303
130,HRV,Croatia,56594,71.2153,0.9927,0.05,1980,4680144
85,CUB,Cuba,109884,102.0366,0.9961,0.14,1980,9809107
189,CUW,Curacao,444,430.5473,1.0043,0.0,1980,156851
158,CYP,Cyprus,9251,135.2814,1.0059,0.02,1980,679327
88,CZE,Czech Republic,78865,133.0627,0.9984,0.13,1980,10270060
115,DNK,Denmark,43094,136.4984,1.0048,0.07,1980,5125392
160,DJI,Djibouti,23200,48.3125,1.0138,0.01,1980,324121
204,DMA,Dominica,751,96.8535,1.0045,0.0,1980,72978
84,DOM,Dominican Republic,48671,230.7087,1.01,0.14,1980,5755800
15,COD,DR Congo,2344858,42.2244,1.0325,1.24,1980,26708686
67,ECU,Ecuador,276841,65.0229,1.0114,0.23,1980,8135845
14,EGY,Egypt,1002450,110.7188,1.0158,1.39,1980,43748556
112,SLV,El Salvador,21041,301.145,1.0035,0.08,1980,4508992
152,GNQ,Equatorial Guinea,28051,59.7094,1.0247,0.02,1980,282509
132,ERI,Eritrea,117600,31.3268,1.0176,0.05,1980,1657982
156,EST,Estonia,45227,29.3201,0.998,0.02,1980,1476983
159,SWZ,Eswatini,17364,69.2047,1.0079,0.02,1980,598564
12,ETH,Ethiopia,1104300,111.7268,1.0257,1.55,1980,34945469
231,FLK,Falkland Islands,12173,0.3105,1.0043,0.0,1980,2240
209,FRO,Faroe Islands,1393,38.112,1.0038,0.0,1980,43054
162,FJI,Fiji,18272,50.8847,1.0056,0.01,1980,644582
118,FIN,Finland,338424,16.3722,1.0009,0.07,1980,4779418
23,FRA,France,551695,117.1419,1.0015,0.81,1980,53713830
184,GUF,French Guiana,83534,3.6459,1.0239,0.0,1980,66825
183,PYF,French Polynesia,4167,73.5011,1.0074,0.0,1980,163591
146,GAB,Gabon,267668,8.9252,1.0204,0.03,1980,749078
142,GMB,Gambia,10689,253.1567,1.025,0.03,1980,718586
131,GEO,Georgia,69700,53.7214,0.9964,0.05,1980,5145843
19,DEU,Germany,357114,233.4544,0.9995,1.05,1980,77786703
47,GHA,Ghana,238533,140.3406,1.0196,0.42,1980,11865246
219,GIB,Gibraltar,6,5441.5,0.9994,0.0,1980,28734
90,GRC,Greece,131990,78.68,0.9942,0.13,1980,9307148
208,GRL,Greenland,2166086,0.0261,1.004,0.0,1980,50106
193,GRD,Grenada,344,364.6453,1.0066,0.0,1980,94838
178,GLP,Guadeloupe,1628,243.0909,0.9992,0.0,1980,334234
191,GUM,Guam,549,312.8852,1.0073,0.0,1980,110286
68,GTM,Guatemala,108889,163.8725,1.0134,0.22,1980,6987767
207,GGY,Guernsey,78,811.5513,1.0037,0.0,1980,52860
75,GIN,Guinea,245857,56.3716,1.0242,0.17,1980,4972609
149,GNB,Guinea-Bissau,36125,58.2856,1.0218,0.03,1980,831462
164,GUY,Guyana,214969,3.7621,1.0052,0.01,1980,778176
82,HTI,Haiti,27750,417.4773,1.012,0.15,1980,5646676
89,HND,Honduras,112492,92.7431,1.015,0.13,1980,3777990
104,HKG,Hong Kong,1104,6783.3922,0.9992,0.09,1980,4978544
94,HUN,Hungary,93028,107.1431,1.0265,0.12,1980,10698679
179,ISL,Iceland,103000,3.6204,1.0069,0.0,1980,228263
2,IND,India,3287590,431.0675,1.0068,17.77,1980,696828385
4,IDN,Indonesia,1904569,144.6529,1.0064,3.45,1980,148177096
17,IRN,Iran,1648195,53.7258,1.0071,1.11,1980,38520664
35,IRQ,Iraq,438317,101.5158,1.0221,0.56,1980,13653369
125,IRL,Ireland,70273,71.4799,1.0073,0.06,1980,3391387
202,IMN,Isle of Man,572,147.7605,1.003,0.0,1980,64022
98,ISR,Israel,20770,435.1617,1.0155,0.11,1980,3744608
25,ITA,Italy,301336,195.9191,0.9966,0.74,1980,56329482
52,CIV,Ivory Coast,322463,87.3295,1.0248,0.35,1980,8303809
139,JAM,Jamaica,10991,257.2447,0.9999,0.04,1980,2135546
11,JPN,Japan,377930,327.9753,0.9947,1.55,1980,117624196
195,JEY,Jersey,116,954.9828,1.0106,0.0,1980,75124
83,JOR,Jordan,89342,126.3221,1.0123,0.14,1980,2216903
66,KAZ,Kazakhstan,2724900,7.1188,1.0105,0.24,1980,14172710
27,KEN,Kenya,580367,93.0919,1.0193,0.68,1980,16187124
192,KIR,Kiribati,811,161.815,1.0183,0.0,1980,60813
129,KWT,Kuwait,17818,239.5821,1.0044,0.05,1980,1493870
110,KGZ,Kyrgyzstan,199951,33.1612,1.0158,0.08,1980,3691209
103,LAO,Laos,236800,31.7968,1.0141,0.09,1980,3297519
151,LVA,Latvia,64559,28.666,0.9876,0.02,1980,2572037
119,LBN,Lebanon,10452,525.2334,0.9816,0.07,1980,2963702
147,LSO,Lesotho,30355,75.962,1.0107,0.03,1980,1407672
121,LBR,Liberia,111369,47.6136,1.021,0.07,1980,1932169
107,LBY,Libya,1759540,3.8717,1.0114,0.09,1980,2962720
216,LIE,Liechtenstein,160,245.7937,1.0074,0.0,1980,25003
141,LTU,Lithuania,65300,42.1142,0.9869,0.03,1980,3521206
168,LUX,Luxembourg,2586,250.425,1.0129,0.01,1980,363741
167,MAC,Macau,30,23172.2667,1.0125,0.01,1980,245332
50,MDG,Madagascar,587041,50.4423,1.0241,0.37,1980,8948162
62,MWI,Malawi,118484,172.22,1.0259,0.26,1980,6267369
45,MYS,Malaysia,330803,102.5934,1.0109,0.43,1980,13215707
174,MDV,Maldives,300,1745.9567,1.0045,0.01,1980,164887
59,MLI,Mali,1240192,18.2178,1.0314,0.28,1980,7372581
173,MLT,Malta,316,1687.6139,1.0124,0.01,1980,333587
215,MHL,Marshall Islands,181,229.663,0.9886,0.0,1980,31988
180,MTQ,Martinique,1128,325.8041,0.9965,0.0,1980,333786
126,MRT,Mauritania,1030700,4.5951,1.0263,0.06,1980,1506694
157,MUS,Mauritius,2040,636.9946,1.0004,0.02,1980,954865
182,MYT,Mayotte,374,871.9278,1.0319,0.0,1980,52233
10,MEX,Mexico,1964375,64.9082,1.0063,1.6,1980,67705186
194,FSM,Micronesia,702,162.6268,1.0091,0.0,1980,76299
135,MDA,Moldova,33846,96.7026,1.0691,0.04,1980,4103240
217,MCO,Monaco,2,18234.5,0.9941,0.0,1980,27076
134,MNG,Mongolia,1564110,2.1727,1.0151,0.04,1980,1697780
169,MNE,Montenegro,13812,45.4012,0.9988,0.01,1980,589324
230,MSR,Montserrat,102,43.0392,0.9939,0.0,1980,11452
40,MAR,Morocco,446550,83.883,1.0103,0.47,1980,19678444
48,MOZ,Mozambique,801590,41.1302,1.0278,0.41,1980,11413587
26,MMR,Myanmar,676578,80.0784,1.0071,0.68,1980,33465781
145,NAM,Namibia,825615,3.1092,1.0146,0.03,1980,975994
225,NRU,Nauru,21,603.2381,1.0125,0.0,1980,7635
49,NPL,Nepal,147181,207.5511,1.0171,0.38,1980,15600442
71,NLD,Netherlands,41850,419.6897,1.0036,0.22,1980,14130387
185,NCL,New Caledonia,18575,15.6097,1.0075,0.0,1980,148599
123,NZL,New Zealand,270467,19.1716,1.0108,0.07,1980,3147168
106,NIC,Nicaragua,130373,53.2962,1.0143,0.09,1980,3303309
54,NER,Niger,1267000,20.6851,1.0378,0.33,1980,6173177
6,NGA,Nigeria,923768,236.5759,1.0241,2.74,1980,72951439
232,NIU,Niue,260,7.4385,0.9985,0.0,1980,3637
56,PRK,North Korea,120538,216.2755,1.0038,0.33,1980,17973650
150,MKD,North Macedonia,25713,81.4218,0.9954,0.03,1980,1907023
210,NFK,Northern Mariana Islands,464,106.7909,1.0014,0.0,1980,17613
120,NOR,Norway,323802,16.7828,1.0058,0.07,1980,4085776
127,OMN,Oman,309500,14.7861,1.0123,0.06,1980,1017462
5,PAK,Pakistan,881912,267.4018,1.0191,2.96,1980,80624057
222,PLW,Palau,459,39.3355,1.0017,0.0,1980,12252
122,PSE,Palestine,6220,844.063,1.0227,0.07,1980,1453620
128,PAN,Panama,75417,58.4561,1.0132,0.06,1980,1956987
93,PNG,Papua New Guinea,462840,21.9139,1.0194,0.13,1980,3104788
109,PRY,Paraguay,406752,16.6705,1.0115,0.09,1980,3078912
44,PER,Peru,1285216,26.4933,1.0099,0.43,1980,17492406
13,PHL,Philippines,342353,337.5434,1.0147,1.45,1980,48419546
37,POL,Poland,312679,127.4698,1.0404,0.5,1980,35521429
92,PRT,Portugal,92090,111.5307,0.9981,0.13,1980,9785252
136,PRI,Puerto Rico,8870,366.675,0.9989,0.04,1980,3214568
