Rank,CCA3,Country/Territory,Area (km²),Density (per km²),Growth Rate,World Population Percentage,Year,Population
221,VGB,British Virgin Islands,151,207.3179,1.0059,0.0,1970,9581
175,BRN,Brunei,5765,77.8841,1.0081,0.01,1970,133343
108,BGR,Bulgaria,110879,61.1654,0.9849,0.09,1970,8582950
58,BFA,Burkina Faso,272967,83.0641,1.0259,0.28,1970,5611666
78,BDI,Burundi,27834,463.0874,1.027,0.16,1970,3497834
73,KHM,Cambodia,181035,92.6221,1.0108,0.21,1970,6708525
53,CMR,Cameroon,475442,58.7128,1.0263,0.35,1970,6452787
39,CAN,Canada,9984670,3.8513,1.0078,0.48,1970,21434577
171,CPV,Cape Verde,4033,147.0739,1.0089,0.01,1970,287262
205,CYM,Cayman Islands,264,260.25,1.0084,0.0,1970,10533
117,CAF,Central African Republic,622984,8.9555,1.0224,0.07,1970,2067356
69,TCD,Chad,1284000,13.8032,1.0316,0.22,1970,3667394
65,CHL,Chile,756102,25.9274,1.0057,0.25,1970,9820481
1,CHN,China,9706961,146.8933,1.0,17.88,1970,822534450
28,COL,Colombia,1141748,45.4339,1.0069,0.65,1970,20905254
163,COM,Comoros,1862,449.3953,1.0184,0.01,1970,242351
223,COK,Cook Islands,236,72.0805,1.0005,0.0,1970,20470
124,CRI,Costa Rica,51100,101.3861,1.0052,0.06,1970,1855697
130,HRV,Croatia,56594,71.2153,0.9927,0.05,1970,4492638
85,CUB,Cuba,109884,102.0366,0.9961,0.14,1970,8869636
189,CUW,Curacao,444,430.5473,1.0043,0.0,1970,150385
158,CYP,Cyprus,9251,135.2814,1.0059,0.02,1970,640804
88,CZE,Czech Republic,78865,133.0627,0.9984,0.13,1970,9795744
115,DNK,Denmark,43094,136.4984,1.0048,0.07,1970,4922963
160,DJI,Djibouti,23200,48.3125,1.0138,0.01,1970,144379
204,DMA,Dominica,751,96.8535,1.0045,0.0,1970,68895
84,DOM,Dominican Republic,48671,230.7087,1.01,0.14,1970,4475871
15,COD,DR Congo,2344858,42.2244,1.0325,1.24,1970,20151733
67,ECU,Ecuador,276841,65.0229,1.0114,0.23,1970,6172215
14,EGY,Egypt,1002450,110.7188,1.0158,1.39,1970,34781986
112,SLV,El Salvador,21041,301.145,1.0035,0.08,1970,3619090
152,GNQ,Equatorial Guinea,28051,59.7094,1.0247,0.02,1970,316955
132,ERI,Eritrea,117600,31.3268,1.0176,0.05,1970,1272748
156,EST,Estonia,45227,29.3201,0.998,0.02,1970,1361999
159,SWZ,Eswatini,17364,69.2047,1.0079,0.02,1970,442865
12,ETH,Ethiopia,1104300,111.7268,1.0257,1.55,1970,28308246
231,FLK,Falkland Islands,12173,0.3105,1.0043,0.0,1970,2274
209,FRO,Faroe Islands,1393,38.112,1.0038,0.0,1970,38416
162,FJI,Fiji,18272,50.8847,1.0056,0.01,1970,527634
118,FIN,Finland,338424,16.3722,1.0009,0.07,1970,4606621
23,FRA,France,551695,117.1419,1.0015,0.81,1970,50523586
184,GUF,French Guiana,83534,3.6459,1.0239,0.0,1970,46484
183,PYF,French Polynesia,4167,73.5011,1.0074,0.0,1970,117891
146,GAB,Gabon,267668,8.9252,1.0204,0.03,1970,597192
142,GMB,Gambia,10689,253.1567,1.025,0.03,1970,528731
131,GEO,Georgia,69700,53.7214,0.9964,0.05,1970,4800426
19,DEU,Germany,357114,233.4544,0.9995,1.05,1970,78294583
47,GHA,Ghana,238533,140.3406,1.0196,0.42,1970,8861895
219,GIB,Gibraltar,6,5441.5,0.9994,0.0,1970,26685
90,GRC,Greece,131990,78.68,0.9942,0.13,1970,8544873
208,GRL,Greenland,2166086,0.0261,1.004,0.0,1970,45434
193,GRD,Grenada,344,364.6453,1.0066,0.0,1970,98794
178,GLP,Guadeloupe,1628,243.0909,0.9992,0.0,1970,318310
191,GUM,Guam,549,312.8852,1.0073,0.0,1970,88300
68,GTM,Guatemala,108889,163.8725,1.0134,0.22,1970,5453208
207,GGY,Guernsey,78,811.5513,1.0037,0.0,1970,52656
75,GIN,Guinea,245857,56.3716,1.0242,0.17,1970,4222374
149,GNB,Guinea-Bissau,36125,58.2856,1.0218,0.03,1970,591663
164,GUY,Guyana,214969,3.7621,1.0052,0.01,1970,705261
82,HTI,Haiti,27750,417.4773,1.012,0.15,1970,4680812
89,HND,Honduras,112492,92.7431,1.015,0.13,1970,2782753
104,HKG,Hong Kong,1104,6783.3922,0.9992,0.09,1970,3955072
94,HUN,Hungary,93028,107.1431,1.0265,0.12,1970,10315366
179,ISL,Iceland,103000,3.6204,1.0069,0.0,1970,204468
2,IND,India,3287590,431.0675,1.0068,17.77,1970,557501301
4,IDN,Indonesia,1904569,144.6529,1.0064,3.45,1970,115228394
17,IRN,Iran,1648195,53.7258,1.0071,1.11,1970,28449705
35,IRQ,Iraq,438317,101.5158,1.0221,0.56,1970,9811347
125,IRL,Ireland,70273,71.4799,1.0073,0.06,1970,2937637
202,IMN,Isle of Man,572,147.7605,1.003,0.0,1970,55298
98,ISR,Israel,20770,435.1617,1.0155,0.11,1970,2907307
25,ITA,Italy,301336,195.9191,0.9966,0.74,1970,53324036
52,CIV,Ivory Coast,322463,87.3295,1.0248,0.35,1970,5477086
139,JAM,Jamaica,10991,257.2447,0.9999,0.04,1970,1859091
11,JPN,Japan,377930,327.9753,0.9947,1.55,1970,105416839
195,JEY,Jersey,116,954.9828,1.0106,0.0,1970,68347
83,JOR,Jordan,89342,126.3221,1.0123,0.14,1970,1557374
66,KAZ,Kazakhstan,2724900,7.1188,1.0105,0.24,1970,12265305
27,KEN,Kenya,580367,93.0919,1.0193,0.68,1970,11473087
192,KIR,Kiribati,811,161.815,1.0183,0.0,1970,57437
129,KWT,Kuwait,17818,239.5821,1.0044,0.05,1970,802786
110,KGZ,Kyrgyzstan,199951,33.1612,1.0158,0.08,1970,3016384
103,LAO,Laos,236800,31.7968,1.0141,0.09,1970,2675283
151,LVA,Latvia,64559,28.666,0.9876,0.02,1970,2397414
119,LBN,Lebanon,10452,525.2334,0.9816,0.07,1970,2381791
147,LSO,Lesotho,30355,75.962,1.0107,0.03,1970,1023481
121,LBR,Liberia,111369,47.6136,1.021,0.07,1970,1463563
107,LBY,Libya,1759540,3.8717,1.0114,0.09,1970,1909177
216,LIE,Liechtenstein,160,245.7937,1.0074,0.0,1970,21089
141,LTU,Lithuania,65300,42.1142,0.9869,0.03,1970,3210147
168,LUX,Luxembourg,2586,250.425,1.0129,0.01,1970,339342
167,MAC,Macau,30,23172.2667,1.0125,0.01,1970,247284
50,MDG,Madagascar,587041,50.4423,1.0241,0.37,1970,6639751
62,MWI,Malawi,118484,172.22,1.0259,0.26,1970,4625141
45,MYS,Malaysia,330803,102.5934,1.0109,0.43,1970,10306508
174,MDV,Maldives,300,1745.9567,1.0045,0.01,1970,123243
59,MLI,Mali,1240192,18.2178,1.0314,0.28,1970,6153587
173,MLT,Malta,316,1687.6139,1.0124,0.01,1970,315414
215,MHL,Marshall Islands,181,229.663,0.9886,0.0,1970,23969
180,MTQ,Martinique,1128,325.8041,0.9965,0.0,1970,326428
126,MRT,Mauritania,1030700,4.5951,1.0263,0.06,1970,1122198
157,MUS,Mauritius,2040,636.9946,1.0004,0.02,1970,830115
182,MYT,Mayotte,374,871.9278,1.0319,0.0,1970,35383
10,MEX,Mexico,1964375,64.9082,1.0063,1.6,1970,50289306
194,FSM,Micronesia,702,162.6268,1.0091,0.0,1970,58989
135,MDA,Moldova,33846,96.7026,1.0691,0.04,1970,3711140
217,MCO,Monaco,2,18234.5,0.9941,0.0,1970,24270
134,MNG,Mongolia,1564110,2.1727,1.0151,0.04,1970,1293880
169,MNE,Montenegro,13812,45.4012,0.9988,0.01,1970,530268
230,MSR,Montserrat,102,43.0392,0.9939,0.0,1970,11402
40,MAR,Morocco,446550,83.883,1.0103,0.47,1970,15274351
48,MOZ,Mozambique,801590,41.1302,1.0278,0.41,1970,8411676
26,MMR,Myanmar,676578,80.0784,1.0071,0.68,1970,27284112
145,NAM,Namibia,825615,3.1092,1.0146,0.03,1970,754467
225,NRU,Nauru,21,603.2381,1.0125,0.0,1970,6663
49,NPL,Nepal,147181,207.5511,1.0171,0.38,1970,12501285
71,NLD,Netherlands,41850,419.6897,1.0036,0.22,1970,13037686
185,NCL,New Caledonia,18575,15.6097,1.0075,0.0,1970,110982
123,NZL,New Zealand,270467,19.1716,1.0108,0.07,1970,2824061
106,NIC,Nicaragua,130373,53.2962,1.0143,0.09,1970,2444767
54,NER,Niger,1267000,20.6851,1.0378,0.33,1970,4669708
6,NGA,Nigeria,923768,236.5759,1.0241,2.74,1970,55569264
232,NIU,Niue,260,7.4385,0.9985,0.0,1970,5185
56,PRK,North Korea,120538,216.2755,1.0038,0.33,1970,14996879
150,MKD,North Macedonia,25713,81.4218,0.9954,0.03,1970,1656783
210,NFK,Northern Mariana Islands,464,106.7909,1.0014,0.0,1970,10143
120,NOR,Norway,323802,16.7828,1.0058,0.07,1970,3875546
127,OMN,Oman,309500,14.7861,1.0123,0.06,1970,670693
5,PAK,Pakistan,881912,267.4018,1.0191,2.96,1970,59290872
222,PLW,Palau,459,39.3355,1.0017,0.0,1970,11366
122,PSE,Palestine,6220,844.063,1.0227,0.07,1970,1118241
128,PAN,Panama,75417,58.4561,1.0132,0.06,1970,1516188
93,PNG,Papua New Guinea,462840,21.9139,1.0194,0.13,1970,2489059
109,PRY,Paraguay,406752,16.6705,1.0115,0.09,1970,2408787
44,PER,Peru,1285216,26.4933,1.0099,0.43,1970,13562371
13,PHL,Philippines,342353,337.5434,1.0147,1.45,1970,37435586
37,POL,Poland,312679,127.4698,1.0404,0.5,1970,32482943
92,PRT,Portugal,92090,111.5307,0.9981,0.13,1970,8683631
136,PRI,Puerto Rico,8870,366.675,0.9989,0.04,1970,2737619
143,QAT,Qatar,11586,232.6189,1.0026,0.03,1970,118007
114,COG,Republic of the Congo,342000,17.4574,1.0231,0.07,1970,1396989
161,REU,Reunion,2511,387.914,1.0082,0.01,1970,473925
64,ROU,Romania,238391,82.4665,1.0171,0.25,1970,19922618
9,RUS,Russia,17098242,8.4636,0.9973,1.81,1970,130093010
76,RWA,Rwanda,26338,523.0731,1.0234,0.17,1970,3896367
228,BLM,Saint Barthelemy,21,522.2381,1.0098,0.0,1970,2417
211,KNA,Saint Kitts and Nevis,261,182.5939,1.0011,0.0,1970,44968
190,LCA,Saint Lucia,616,291.9756,1.0011,0.0,1970,103090
220,MAF,Saint Martin,53,599.8302,0.9951,0.0,1970,5802
229,SPM,Saint Pierre and Miquelon,242,24.2231,0.9964,0.0,1970,5537
199,VCT,Saint Vincent and the Grenadines,389,267.2185,0.9963,0.0,1970,98459
188,WSM,Samoa,2842,78.2484,1.0165,0.0,1970,142771
218,SMR,San Marino,61,551.8033,0.9975,0.0,1970,18169
187,STP,Sao Tome and Principe,964,235.8714,1.0192,0.0,1970,77583
41,SAU,Saudi Arabia,2149690,16.9368,1.0128,0.46,1970,6106191
72,SEN,Senegal,196722,88.025,1.0261,0.22,1970,4367744
105,SRB,Serbia,88361,81.7257,0.9897,0.09,1970,7193533
196,SYC,Seychelles,452,236.9867,1.0061,0.0,1970,54379
102,SLE,Sierra Leone,71740,119.957,1.022,0.11,1970,2778557
113,SGP,Singapore,710,8416.4634,1.0058,0.07,1970,2061831
214,SXM,Sint Maarten,34,1299.2647,1.003,0.0,1970,6260
116,SVK,Slovakia,49037,115.0856,1.0359,0.07,1970,4522867
148,SVN,Slovenia,20273,104.5649,1.0002,0.03,1970,1741286
166,SLB,Solomon Islands,28896,25.0648,1.0232,0.01,1970,172833
70,SOM,Somalia,637657,27.5971,1.0312,0.22,1970,3720977
24,ZAF,South Africa,1221037,49.0517,1.0084,0.75,1970,22368306
29,KOR,South Korea,100210,517.0722,0.9997,0.65,1970,32601143
86,SSD,South Sudan,619745,17.6091,1.0153,0.14,1970,3342410
30,ESP,Spain,505992,93.9909,1.0015,0.6,1970,33792617
61,LKA,Sri Lanka,65610,332.7563,1.0027,0.27,1970,12388769
32,SDN,Sudan,1886068,24.8529,1.0267,0.59,1970,11305206
170,SUR,Suriname,163820,3.7727,1.0082,0.01,1970,379918
87,SWE,Sweden,450295,23.4276,1.0079,0.13,1970,8027702
101,CHE,Switzerland,41284,211.7157,1.0056,0.11,1970,6181227
60,SYR,Syria,185180,119.4797,1.0376,0.28,1970,6319199
57,TWN,Taiwan,36193,660.1662,1.0014,0.3,1970,14957870
95,TJK,Tajikistan,143100,69.5513,1.0208,0.12,1970,2993019
22,TZA,Tanzania,945087,69.3034,1.03,0.82,1970,13618192
20,THA,Thailand,513120,139.7276,1.0013,0.9,1970,35791728
155,TLS,Timor-Leste,14874,90.1772,1.0154,0.02,1970,554021
100,TGO,Togo,56785,155.8281,1.0236,0.11,1970,2197383
233,TKL,Tokelau,12,155.9167,1.0119,0.0,1970,1714
197,TON,Tonga,747,143.0495,1.0079,0.0,1970,86484
153,TTO,Trinidad and Tobago,5130,298.4491,1.0035,0.02,1970,988890
79,TUN,Tunisia,163610,75.5218,1.0076,0.15,1970,5047404
18,TUR,Turkey,783562,108.9145,1.0067,1.07,1970,35540990
111,TKM,Turkmenistan,488100,13.1751,1.014,0.08,1970,2201432
212,TCA,Turks and Caicos Islands,948,48.2099,1.0131,0.0,1970,5665
227,TUV,Tuvalu,26,435.0769,1.0096,0.0,1970,5814
31,UGA,Uganda,241550,195.61,1.0304,0.59,1970,10317212
38,UKR,Ukraine,603500,65.7858,0.912,0.5,1970,47279086
97,ARE,United Arab Emirates,83600,112.9322,1.0081,0.12,1970,298084
21,GBR,United Kingdom,242900,277.9289,1.0034,0.85,1970,55650166
3,USA,United States,9372610,36.0935,1.0038,4.24,1970,200328340
200,VIR,United States Virgin Islands,347,286.6427,0.9937,0.0,1970,63446
133,URY,Uruguay,181034,18.9069,0.999,0.04,1970,2790265
43,UZB,Uzbekistan,447400,77.3975,1.016,0.43,1970,12011361
181,VUT,Vanuatu,12189,26.8061,1.0238,0.0,1970,87019
234,VAT,Vatican City,1,510.0,0.998,0.0,1970,752
51,VEN,Venezuela,916445,30.882,1.0036,0.35,1970,11355475
16,VNM,Vietnam,331212,296.4472,1.0074,1.23,1970,41928849
226,WLF,Wallis and Futuna,142,81.493,0.9953,0.0,1970,9377
172,ESH,Western Sahara,266000,2.1654,1.0184,0.01,1970,76371
46,YEM,Yemen,527968,63.8232,1.0217,0.42,1970,6843607
63,ZMB,Zambia,752612,26.5976,1.028,0.25,1970,4281671
74,ZWE,Zimbabwe,390757,41.7665,1.0204,0.2,1970,5202918
