COUNTRY,COICOP_1999,TIME_PERIOD,OBS_VALUE
AIA,Aggregate,2022-Q4,120.99
AIA,Aggregate,2023-Q1,119.67
AIA,Aggregate,2023-Q2,118.9
AIA,Aggregate,2023-Q3,119.88
AIA,Aggregate,2023-Q4,120.24
AIA,Aggregate,2024-Q1,118.2
AIA,Aggregate,2024-Q2,119.37
AIA,Aggregate,2024-Q3,119.21
AIA,Aggregate,2024-Q4,119.58
AIA,Aggregate,2025-Q1,119.58
ALB,Aggregate,2016-Q1,94.0493334352408
ALB,Aggregate,2016-Q2,93.32832493829243
ALB,Aggregate,2016-Q3,93.25812713913363
ALB,Aggregate,2016-Q4,93.82307218688183
ALB,Aggregate,2017-Q1,96.3002262148387
ALB,Aggregate,2017-Q2,95.2337331515546
ALB,Aggregate,2017-Q3,94.86699776696883
ALB,Aggregate,2017-Q4,95.4971298952737
ALB,Aggregate,2018-Q1,98.14510171963313
ALB,Aggregate,2018-Q2,97.31874062343473
ALB,Aggregate,2018-Q3,96.94935989727463
ALB,Aggregate,2018-Q4,97.23000572178
ALB,Aggregate,2019-Q1,99.68962608452697
ALB,Aggregate,2019-Q2,98.68098866498073
ALB,Aggregate,2019-Q3,98.31188328349027
ALB,Aggregate,2019-Q4,98.4589293487558
ALB,Aggregate,2020-Q1,101.2822453314693
ALB,Aggregate,2020-Q2,100.5946637577521
ALB,Aggregate,2020-Q3,99.68119112804807
ALB,Aggregate,2020-Q4,99.98812167981023
ALB,Aggregate,2021-Q1,102.2229345596167
ALB,Aggregate,2021-Q2,102.3891124134123
ALB,Aggregate,2021-Q3,102.0541825721183
ALB,Aggregate,2021-Q4,103.0774445589013
ALB,Aggregate,2022-Q1,106.7665608071653
ALB,Aggregate,2022-Q2,109.291635313236
ALB,Aggregate,2022-Q3,110.0658643476993
ALB,Aggregate,2022-Q4,111.175706332566
ALB,Aggregate,2023-Q1,113.7249453815163
ALB,Aggregate,2023-Q2,114.3333303719323
ALB,Aggregate,2023-Q3,114.5477027617643
ALB,Aggregate,2023-Q4,115.5082261167187
ALB,Aggregate,2024-Q1,116.8387393216443
ALB,Aggregate,2024-Q2,116.7737597082563
ALB,Aggregate,2024-Q3,116.8184365782677
ALB,Aggregate,2024-Q4,117.8281601333
ALB,Aggregate,2025-Q1,119.1509325570567
ARE,Aggregate,2016-Q1,97.46263586568167
ARE,Aggregate,2016-Q2,98.1578664380628
ARE,Aggregate,2016-Q3,99.04863060892617
ARE,Aggregate,2016-Q4,99.20691971245937
ARE,Aggregate,2017-Q1,100.0356097250744
ARE,Aggregate,2017-Q2,100.1380320861841
ARE,Aggregate,2017-Q3,100.0759579279358
ARE,Aggregate,2017-Q4,101.3733078353256
ARE,Aggregate,2018-Q1,104.2247122506945
ARE,Aggregate,2018-Q2,103.5788903728869
ARE,Aggregate,2018-Q3,103.6567830388885
ARE,Aggregate,2018-Q4,102.4868581723828
ARE,Aggregate,2019-Q1,101.6542144977951
ARE,Aggregate,2019-Q2,101.967600471171
ARE,Aggregate,2019-Q3,101.4393888075961
ARE,Aggregate,2019-Q4,100.8923828706681
ARE,Aggregate,2020-Q1,100.2189621298361
ARE,Aggregate,2020-Q2,99.6132444017304
ARE,Aggregate,2020-Q3,99.03533022212597
ARE,Aggregate,2020-Q4,98.6446381058689
ARE,Aggregate,2021-Q1,98.5644521745893
ARE,Aggregate,2021-Q2,99.1355344304738
ARE,Aggregate,2021-Q3,99.60109061733617
